rank,symbol,company,market_cap,sector
430,GDDY,Godaddy Inc,$12.24 Billion,Technology
431,BLDR,Builders FirstSource Inc,$12.05 Billion,Industrials
432,DOC,Healthpeak Properties Inc,$11.92 Billion,Real Estate
433,SWK,Stanley Black & Decker Inc,$11.75 Billion,Industrials
434,GL,Globe Life Inc,$11.46 Billion,Financial Services
435,JKHY,Jack Henry & Associates Inc,$11.40 Billion,Technology
436,UDR,UDR Inc,$11.35 Billion,Real Estate
437,PNW,Pinnacle West Capital Corp,$11.14 Billion,Utilities
438,AIZ,Assurant Inc,$11.00 Billion,Financial Services
439,CPT,Camden Property Trust,$10.97 Billion,Real Estate
440,DAY,Dayforce Inc.,$10.96 Billion,Technology
441,EG,Everest Group Ltd,$10.93 Billion,Financial Services
442,IT,Gartner Inc,$10.89 Billion,Technology
443,SOLV,Solventum Corp.,$10.86 Billion,Healthcare
444,NCLH,Norwegian Cruise Line Holdings Ltd,$10.84 Billion,Consumer Cyclical
445,GEN,Gen Digital Inc.,$10.77 Billion,Technology
446,BAX,Baxter International Inc,$10.62 Billion,Healthcare
447,SJM,The J. M. Smucker Company,$10.61 Billion,Consumer Defensive
448,AES,The AES Corporation,$10.20 Billion,Utilities
449,RVTY,Revvity Inc.,$9.89 Billion,Healthcare
450,BF,Brown-Forman Corporation,$9.81 Billion,Consumer Defensive
451,APA,APA Corporation,$9.63 Billion,Energy
452,TAP,Molson Coors Brewing Co Class B,$9.04 Billion,Consumer Defensive
453,SWKS,Skyworks Solutions Inc,$9.02 Billion,Technology
454,TECH,Bio-Techne Corp,$9.01 Billion,Healthcare
455,GNRC,Generac Holdings Inc,$8.97 Billion,Industrials
456,EMN,Eastman Chemical Company,$8.94 Billion,Basic Materials
457,BXP,Boston Properties Inc,$8.92 Billion,Real Estate
458,AOS,Smith AO Corporation,$8.92 Billion,Industrials
459,IPG,Interpublic Group of Companies Inc,$8.88 Billion,Communication Services
460,IVZ,Invesco Plc,$8.79 Billion,Financial Services
461,EPAM,EPAM Systems Inc,$8.65 Billion,Technology
462,WBA,Walgreens Boots Alliance Inc,$8.58 Billion,Healthcare
463,WYNN,Wynn Resorts Limited,$8.49 Billion,Consumer Cyclical
464,ARE,Alexandria Real Estate Equities Inc,$8.38 Billion,Real Estate
465,BEN,Franklin Resources Inc,$8.35 Billion,Financial Services
466,POOL,Pool Corporation,$8.33 Billion,Industrials
467,FRT,Federal Realty Investment Trust,$8.28 Billion,Real Estate
468,LKQ,LKQ Corporation,$8.26 Billion,Consumer Cyclical
469,TPL,Texas Pacific Land Trust,$8.25 Billion,Energy
470,CAG,ConAgra Foods Inc,$8.10 Billion,Consumer Defensive
471,CRL,Charles River Laboratories,$7.71 Billion,Healthcare
